DOEID,REGIONC,DIVISION,REPORTABLE_DOMAIN,HDD65,CDD65,TOTSQFT,Y1_BTUEL,DOLLAREL,Y2_BTUNG,DOLLARNG,HDD50,CDD80,WSF,OA_LAT
7938,3,7,21,2246,2581,1130,30606,1445,30750,421,567,487,.53,7
7939,1,2,4,4473,1088,2562,49634,2649,76056,1143,1796,27,.5,5
7940,2,3,9,6672,608,950,9717,436,8815,92,3431,0,.65,2
7941,4,10,26,1753,1977,2100,23806,1007,54735,503,267,161,.42,0
7945,2,4,11,6135,732,7181,30152,916,81693,913,3089,41,.54,3
7946,1,2,3,4748,863,2252,38668,2304,175890,2740,1784,0,.58,4
7947,4,10,26,1134,1578,2719,25232,1072,50020,474,29,39,.4,0
7949,4,8,22,5556,678,4715,44585,1255,116645,941,2413,9,.58,0
7950,3,5,13,4376,1158,1600,42196,1481,27675,502,1728,16,.4,4
7952,1,1,1,5320,721,576,12119,723,59245,856,2191,0,.58,4
7954,4,10,26,1294,2001,2244,39480,1940,47048,466,72,174,.43,0
7955,3,5,17,1429,2766,2244,30534,1187,22858,570,225,246,.41,21
7956,3,7,21,1770,3073,2850,42206,1544,47355,663,361,579,.44,6
7957,2,4,12,4215,1521,2014,40913,916,98195,1199,1771,92,.46,5
7959,1,2,3,4926,854,700,10860,546,31570,460,1945,60,.58,5
7960,4,10,27,4138,533,1654,45008,1353,120438,1614,950,18,.5,1
7961,3,5,14,4630,1191,3301,21847,1103,85690,1213,1928,43,.48,7
7962,3,5,16,3788,851,6060,94014,2166,2563,35,1271,0,.49,2
7963,2,4,12,5307,912,2605,64702,2064,81180,1102,2450,34,.51,6
7965,3,7,21,2376,2429,2515,47321,1885,49303,610,583,387,.54,7
7969,4,10,26,762,1985,2718,23133,928,34030,345,12,73,.34,0
7971,3,6,19,3174,1811,4641,74150,1975,72673,861,909,114,.4,7
7972,3,5,14,4258,1623,1914,48566,2056,86305,1209,1588,79,.51,7
7976,4,10,26,883,2056,764,22676,980,21320,217,0,127,.4,0
7977,3,7,21,2470,2266,4000,38566,1547,45920,435,557,314,.53,7
